,type,strike,bid,ask,iv,volume,oi,mid,expiry,dte
0,call,630.0,107.35,110.15,0.5008594836425782,1.0,0,108.75,2026-05-28,11
1,call,665.0,72.52,75.33,0.370123486328125,1.0,0,73.925,2026-05-28,11
2,call,675.0,62.62,65.43,0.33423517333984376,2.0,0,64.025,2026-05-28,11
3,call,685.0,52.77,55.56,0.29822479125976553,1.0,6,54.165000000000006,2026-05-28,11
4,call,700.0,38.24,41.04,0.25171646728515623,1.0,1,39.64,2026-05-28,11
5,call,709.0,30.87,31.49,0.1878743322753906,5.0,0,31.18,2026-05-28,11
6,call,711.0,29.07,29.66,0.18512777770996092,3.0,0,29.365000000000002,2026-05-28,11
7,call,714.0,26.35,26.96,0.18109949768066402,1.0,0,26.655,2026-05-28,11
8,call,720.0,21.15,21.76,0.17340914489746095,3.0,8,21.455,2026-05-28,11
9,call,725.0,17.18,17.49,0.16263654754638673,,5,17.335,2026-05-28,11
10,call,727.0,15.54,16.14,0.16480327392578126,1.0,0,15.84,2026-05-28,11
11,call,730.0,13.41,13.88,0.1603477520751953,8.0,4,13.645,2026-05-28,11
12,call,732.0,12.02,12.36,0.15570912658691405,4.0,0,12.19,2026-05-28,11
13,call,733.0,11.21,11.8,0.1568993002319336,1.0,0,11.505,2026-05-28,11
14,call,734.0,10.55,11.15,0.1559532647705078,,7,10.850000000000001,2026-05-28,11
15,call,735.0,10.05,10.27,0.15027705200195315,45.0,142,10.16,2026-05-28,11
16,call,736.0,9.26,9.85,0.15305412384033207,2.0,5,9.555,2026-05-28,11
17,call,737.0,8.94,9.0,0.14734739379882814,10.0,0,8.969999999999999,2026-05-28,11
18,call,738.0,8.35,8.41,0.14618773742675778,43.0,0,8.379999999999999,2026-05-28,11
19,call,739.0,7.78,7.83,0.1448449774169922,96.0,8,7.805,2026-05-28,11
20,call,740.0,7.23,7.28,0.14368532104492188,294.0,325,7.255000000000001,2026-05-28,11
21,call,741.0,6.7,6.75,0.14252566467285155,174.0,7,6.725,2026-05-28,11
22,call,742.0,6.19,6.24,0.14130497375488282,271.0,2,6.215,2026-05-28,11
23,call,743.0,5.71,5.76,0.14026738647460937,486.0,12,5.734999999999999,2026-05-28,11
24,call,744.0,5.24,5.29,0.13901617828369145,363.0,83,5.265000000000001,2026-05-28,11
25,call,745.0,4.8,4.85,0.13788703918457032,523.0,295,4.824999999999999,2026-05-28,11
26,call,746.0,4.38,4.43,0.13672738281250002,827.0,115,4.404999999999999,2026-05-28,11
27,call,747.0,3.98,4.03,0.1355066918945313,373.0,118,4.005,2026-05-28,11
28,call,748.0,3.61,3.65,0.13428600097656251,178.0,274,3.63,2026-05-28,11
29,call,749.0,3.26,3.3,0.1331873791503906,97.0,573,3.28,2026-05-28,11
30,call,750.0,2.93,2.97,0.1320277227783203,412.0,497,2.95,2026-05-28,11
31,call,751.0,2.63,2.66,0.13083754913330076,106.0,176,2.645,2026-05-28,11
32,call,752.0,2.35,2.38,0.12983047912597656,54.0,447,2.365,2026-05-28,11
33,call,753.0,2.09,2.12,0.12885392639160154,177.0,236,2.105,2026-05-28,11
34,call,754.0,1.85,1.88,0.12784685638427734,73.0,251,1.865,2026-05-28,11
35,call,755.0,1.63,1.66,0.12683978637695312,133.0,546,1.645,2026-05-28,11
36,call,756.0,1.43,1.46,0.12592426818847657,83.0,310,1.4449999999999998,2026-05-28,11
37,call,757.0,1.25,1.28,0.12500875,383.0,14,1.2650000000000001,2026-05-28,11
38,call,758.0,1.09,1.12,0.12427633544921876,389.0,2,1.105,2026-05-28,11
39,call,759.0,0.95,0.98,0.12366598999023437,231.0,7,0.965,2026-05-28,11
40,call,760.0,0.82,0.85,0.12287254089355469,94.0,105,0.835,2026-05-28,11
41,call,761.0,0.71,0.73,0.12195702270507813,203.0,88,0.72,2026-05-28,11
42,call,762.0,0.61,0.63,0.12134667724609374,17.0,5,0.62,2026-05-28,11
43,call,763.0,0.52,0.54,0.12073633178710938,8.0,15,0.53,2026-05-28,11
44,call,764.0,0.44,0.46,0.12000391723632811,6.0,24,0.45,2026-05-28,11
45,call,765.0,0.38,0.4,0.12000391723632811,53.0,111,0.39,2026-05-28,11
46,call,766.0,0.32,0.34,0.11951564086914063,16.0,8,0.33,2026-05-28,11
47,call,767.0,0.27,0.29,0.11914943359374999,47.0,2,0.28,2026-05-28,11
48,call,768.0,0.23,0.25,0.11914943359374999,202.0,2,0.24,2026-05-28,11
49,call,769.0,0.19,0.21,0.1186611572265625,41.0,6,0.2,2026-05-28,11
50,call,770.0,0.16,0.18,0.1186611572265625,87.0,36,0.16999999999999998,2026-05-28,11
51,call,771.0,0.14,0.15,0.118172880859375,63.0,11,0.14500000000000002,2026-05-28,11
52,call,772.0,0.12,0.13,0.1186611572265625,53.0,70,0.125,2026-05-28,11
53,call,773.0,0.1,0.11,0.11841701904296875,61.0,0,0.10500000000000001,2026-05-28,11
54,call,774.0,0.09,0.1,0.11963770996093749,11.0,3,0.095,2026-05-28,11
55,call,775.0,0.08,0.09,0.1206142626953125,179.0,82,0.08499999999999999,2026-05-28,11
56,call,780.0,0.04,0.05,0.12500875,41.0,144,0.045,2026-05-28,11
57,call,785.0,0.03,0.04,0.133797724609375,155.0,53,0.035,2026-05-28,11
58,call,790.0,0.02,0.03,0.141610146484375,101.0,18,0.025,2026-05-28,11
59,call,795.0,0.02,0.03,0.15332877929687502,89.0,18,0.025,2026-05-28,11
60,call,800.0,0.01,0.02,0.15821154296875,175.0,249,0.015,2026-05-28,11
61,call,805.0,0.01,0.02,0.16993017578125003,89.0,2,0.015,2026-05-28,11
62,call,815.0,0.01,0.02,0.1914143359375,,1,0.015,2026-05-28,11
63,call,830.0,0.01,0.02,0.22461712890624996,,5,0.015,2026-05-28,11
64,call,865.0,0.0,0.01,0.27735097656249996,,6,0.005,2026-05-28,11
65,put,520.0,0.01,0.03,0.6289099609375001,100.0,0,0.02,2026-05-28,11
66,put,525.0,0.02,0.03,0.6250037500000001,100.0,0,0.025,2026-05-28,11
67,put,530.0,0.02,0.03,0.6093789062500001,100.0,0,0.025,2026-05-28,11
68,put,535.0,0.02,0.03,0.5937540625000001,1.0,0,0.025,2026-05-28,11
69,put,570.0,0.03,0.04,0.500005,1.0,0,0.035,2026-05-28,11
70,put,595.0,0.05,0.06,0.445318046875,5.0,0,0.055,2026-05-28,11
71,put,600.0,0.05,0.06,0.42969320312500003,,18,0.055,2026-05-28,11
72,put,615.0,0.07,0.08,0.39649041015625003,1.0,0,0.07500000000000001,2026-05-28,11
73,put,620.0,0.07,0.08,0.379889013671875,,24,0.07500000000000001,2026-05-28,11
74,put,625.0,0.08,0.09,0.36914693359375,4.0,0,0.08499999999999999,2026-05-28,11
75,put,635.0,0.1,0.11,0.3461979443359374,42.0,0,0.10500000000000001,2026-05-28,11
76,put,640.0,0.12,0.13,0.336920693359375,100.0,1,0.125,2026-05-28,11
77,put,645.0,0.13,0.14,0.3242255078124999,,2,0.135,2026-05-28,11
78,put,650.0,0.15,0.16,0.3129951513671875,201.0,3,0.155,2026-05-28,11
79,put,655.0,0.17,0.18,0.30152065673828127,,1,0.175,2026-05-28,11
80,put,660.0,0.2,0.21,0.2910227148437499,4.0,65,0.20500000000000002,2026-05-28,11
81,put,665.0,0.23,0.24,0.2797923583984374,102.0,17,0.235,2026-05-28,11
82,put,670.0,0.27,0.28,0.2690502783203125,,6,0.275,2026-05-28,11
83,put,675.0,0.31,0.33,0.25830819824218754,25.0,6,0.32,2026-05-28,11
84,put,680.0,0.38,0.39,0.2474440490722656,117.0,130,0.385,2026-05-28,11
85,put,685.0,0.46,0.47,0.23706817626953125,131.0,8,0.46499999999999997,2026-05-28,11
86,put,690.0,0.56,0.58,0.2274247180175781,107.0,95,0.5700000000000001,2026-05-28,11
87,put,691.0,0.59,0.61,0.22583781982421874,,97,0.6,2026-05-28,11
88,put,695.0,0.71,0.73,0.21826953613281247,42.0,77,0.72,2026-05-28,11
89,put,696.0,0.74,0.76,0.2161943615722656,,46,0.75,2026-05-28,11
90,put,697.0,0.78,0.8,0.21460746337890624,35.0,0,0.79,2026-05-28,11
