Price,Close,High,Low,Open,Volume,returns
Ticker,SPY,SPY,SPY,SPY,SPY,
date,,,,,,
2023-05-18,403.4275207519531,403.8509377054382,399.0394081133319,399.2607196795313,97177200,
2023-05-19,402.84051513671875,404.86136352045077,401.6183971431854,404.3321069908471,103793300,-0.0014561056443310471
2023-05-22,403.0041198730469,404.54381527738377,401.6183969458684,402.85977985297563,60745400,0.0004060453627613569
2023-05-23,398.48126220703125,402.9367433972177,398.08671324851565,401.35854756315524,86383500,-0.011286308590174616
2023-05-24,395.59429931640625,397.2590989710873,394.42991748733095,396.8741825133282,89213700,-0.007271286890986823
2023-05-25,399.0201110839844,400.4732023013642,396.86455539773374,399.1067150856023,90961600,0.008622629915588948
2023-05-26,404.187744140625,404.90947362025605,399.59755522238083,399.67452677861917,93830000,0.01286766389587426
2023-05-30,404.34173583984375,406.65126441099187,402.95601282370507,406.12200784767117,72216000,0.0003809179625324261
2023-05-31,402.09954833984375,403.41790279671176,400.5309849376734,402.51333285149997,110811800,-0.005560710548017567
2023-06-01,405.91986083984375,406.9784031486699,401.07946358730794,402.33044944585635,88865000,0.009456062375068675
2023-06-02,411.78997802734375,412.5790465929496,407.9696222034908,408.49887873292437,91426200,0.014357704282761194
2023-06-05,411.0008544921875,413.4258547804784,410.298360615152,412.13636840253633,65460200,-0.0019181637566258853
2023-06-06,411.8958740234375,412.42513062538865,409.932761379412,410.58715183892133,64022200,0.002175290903859306
2023-06-07,410.4715881347656,413.4258744271593,410.0481711705742,412.2903604628489,85373300,-0.00346387078357839
2023-06-08,412.954345703125,413.4066306619177,409.76911544531237,410.5389484373123,61952800,0.006030330088216349
2023-06-09,413.6953125,415.7065283650919,412.70413856902655,413.75304850629004,85742800,0.0017926989697835318
2023-06-12,417.4483642578125,417.52536518959647,413.95521786844915,414.676947425857,76104300,0.009031115488930513
2023-06-13,420.2005615234375,420.84529012852545,418.247081424966,418.9110749460117,95899700,0.0065712665165258
2023-06-14,420.700927734375,422.5100677032549,417.2462527373111,420.53735216092747,100612100,0.0011900710758249355
2023-06-15,425.9166259765625,427.1676119841462,419.7867416783568,419.8829487810575,110303100,0.01232141763485702
2023-06-16,424.4658203125,428.47421834147775,423.9925483177265,427.9043524050704,114165800,-0.0034121284558298456
2023-06-20,422.263671875,423.41307214231983,420.1870344889163,422.52447850076925,76160400,-0.005201551198940793
2023-06-21,420.10003662109375,422.08007971224396,419.510834231047,421.2784119248558,76982300,-0.005137068442481535
2023-06-22,421.6165771484375,421.7228098726015,418.80586088521426,419.143925012139,70637200,0.003603450718542694
2023-06-23,418.4290771484375,420.21596194306784,417.71433502111864,418.1586317913709,92074500,-0.007588909677555038
2023-06-26,416.719482421875,419.78130707914215,416.47801229853,417.8592143297431,72823600,-0.004094114981000864
2023-06-27,421.2881774902344,421.90632578060763,417.14454123449,417.59850632056305,72813700,0.010903815209298433
2023-06-28,421.50067138671875,422.5148342796088,419.5882170864921,420.20636537536024,75636000,0.0005042636747515117
2023-06-29,423.1618957519531,423.32610840810986,420.679605245235,421.0852585523664,67882300,0.003933467805390439
2023-06-30,428.155517578125,429.1407051013052,426.0595438710738,426.3783009507995,104964000,0.011731650313275253
2023-07-03,428.64813232421875,428.92821645735074,427.5277073626863,427.8078209721531,32793400,0.0011498895935602698
2023-07-05,428.0106506347656,428.7447292814146,426.8226069528998,426.8322751907773,58418400,-0.0014882980710740645
2023-07-06,424.6590270996094,425.08401688065084,422.1477318870011,424.42722521043544,80658300,-0.007861522192020626
2023-07-07,423.58685302734375,427.5373299461191,423.34538291856603,423.6641399688983,86134200,-0.002527980785710738
2023-07-10,424.6590270996094,424.8328785164898,422.6596473764828,423.2295133382579,62443500,0.0025279807857108384
2023-07-11,427.36346435546875,427.85607282742535,424.44651594855435,425.4220646553444,64463800,0.006348297998181769
2023-07-12,430.80206298828125,432.2122699147005,429.7299496500487,431.1594635773627,91924500,0.00801387826964614
2023-07-13,434.2212219238281,435.01325098389225,432.18322827988203,432.6178568057713,72425200,0.007905398159684742
2023-07-14,433.9508056640625,435.9598242076378,433.18775178790105,435.1098740968055,69815800,-0.0006229554971082227
2023-07-17,435.4576110839844,436.5104174127122,433.7576517763609,433.80596349270843,52680200,0.003466280978184349
2023-07-18,438.69329833984375,439.3404218148386,434.69453863237396,435.12919667930265,80668200,0.007403074226094191
2023-07-19,439.6688232421875,440.85683741354967,438.61598753921226,439.4853035858035,65891700,0.002221237185595913
2023-07-20,436.7518615722656,439.5722457578469,436.0371193951603,438.6739839174844,70591600,-0.006656557726850724
2023-07-21,436.7518615722656,438.6739839174844,436.74222281063936,438.47112777830426,71275600,0.0
2023-07-24,438.7029724121094,439.5143085643416,436.86777572408096,437.9012750217946,54023400,0.004457372315552337
2023-07-25,439.900634765625,441.15626767500714,438.3841952460214,438.4325069587421,55191200,0.0027262876809242198
2023-07-26,439.9682312011719,441.39771546076753,437.91090104233945,438.96370723872633,71052900,0.00015365115938173286
2023-07-27,437.05126953125,443.7641509737044,436.14333947921443,443.35846818342566,92194400,-0.00665201269435247
2023-07-28,441.3301696777344,442.1608128318353,437.0512962860115,440.3256456163928,80011800,0.009742769603466195
2023-07-31,442.17047119140625,442.52784228350436,440.48981896786944,441.80343186125066,62040400,0.0019022097510292574
2023-08-01,440.9051208496094,441.64883818871544,439.94887915495036,440.7022647310359,55291500,-0.0028657823162528745
2023-08-02,434.7718200683594,438.0461398306252,434.0184344125547,437.7853626915781,93933400,-0.014008364937610691
2023-08-03,433.52581787109375,435.4092967139093,432.10597229878186,432.7531252299224,64276100,-0.0028699906531661074
2023-08-04,431.5650939941406,437.44730311288595,431.0435102343316,435.34169055011716,100128900,-0.004532996954383221
2023-08-07,435.3320007324219,435.4865451527169,432.7048045400754,433.40023969323573,58357500,0.008690605770042596
2023-08-08,433.4388732910156,435.3223520518387,430.0775985479417,432.7917203880473,71361300,-0.004358181183267802
2023-08-09,430.541259765625,433.87355948928627,429.77820586959297,433.7093468244431,78789600,-0.006707618100624635
2023-08-10,430.6957702636719,436.2882265207825,429.52706313111736,432.89797658868093,93005500,0.00035881062777650834
2023-08-11,430.4447021484375,431.45889450819044,428.2231884627009,428.82202974443834,68690900,-0.0005831060794180996
2023-08-14,432.82073974609375,432.82073974609375,429.21802398769285,429.52711285274876,47867400,0.005504780991698755
2023-08-15,427.77886962890625,431.40092184966306,427.2089741403311,431.0435212704258,75707500,-0.01171724399343454
2023-08-16,424.63970947265625,429.0247856402229,424.53344729188865,427.3634700312785,80107200,-0.0073653353512909275
2023-08-17,421.40399169921875,426.368601907091,420.8824080004751,426.1078247958852,95711300,-0.007649093174242473
2023-08-18,421.60687255859375,422.6403718520157,418.23595877170976,418.5836616313642,98852000,0.00048132443339366453
2023-08-21,424.3498840332031,425.09360131681507,420.4670555040782,422.6209498938405,68719000,0.006485014905163062
2023-08-22,423.20062255859375,426.12723989880345,422.64042472251566,426.12723989880345,64994200,-0.0027119615174484276
2023-08-23,427.9140625,428.5322402058597,424.1181589807745,424.2630351692306,68441000,0.011076035252485537
2023-08-24,421.98358154296875,430.0293538199984,421.95457682823127,429.51743829068363,88517300,-0.01395597988681532
2023-08-25,424.9584655761719,426.24307373449807,420.1580380770201,423.71247141677657,102325100,0.0070250291097934394
2023-08-28,427.6532897949219,428.27143803085545,424.95847475635645,427.15101303461915,61595400,0.006321360632063928
2023-08-29,433.8348693847656,434.1149829705276,427.3634585355922,427.5469781804364,83081900,0.01435117968423598
2023-08-30,435.62176513671875,436.2592497912926,433.4678410527647,434.17294441532357,69053900,0.004110379280200903
2023-08-31,434.9842834472656,437.3796481914474,434.80076379653127,436.23991629050073,66084600,-0.0014644552594600653
2023-09-01,435.79559326171875,438.19098733790463,434.3371043810238,437.70804712324605,58944100,0.0018634101933509518
2023-09-05,433.91217041015625,435.6700800917991,433.84458117342785,435.35135247874024,55166200,-0.004331169329511198
2023-09-06,430.9951477050781,433.2070220459065,428.6673724339583,433.10075987558594,70758500,-0.006745309478036737
2023-09-07,429.67193603515625,430.3480346831722,427.6435811384425,427.9912839614794,70355400,-0.0030748537674327066
2023-09-08,430.3191223144531,431.8548689598933,429.36290993507305,429.7202810475146,61659700,0.0015051003035145756
2023-09-11,433.149169921875,433.4582293140434,431.2367157088773,432.94631377147886,60180100,0.00655509360705635
2023-09-12,430.7730712890625,433.2264162204621,430.1935665209915,431.7003378706483,67565400,-0.005500737244207287
2023-09-13,431.27532958984375,432.4343685526933,429.8940980148542,430.99521597971284,60199300,0.0011652671870899937
2023-09-14,434.99395751953125,435.6893927060478,432.4440481531944,433.74799281245487,83430800,0.008585438330990841
2023-09-15,429.7530212402344,433.7368084981918,429.3168595859164,433.4072542770486,111848900,-0.012121465766840131
2023-09-18,430.0050964355469,431.3039383717458,428.96795152295476,429.44289301849346,55752200,0.0005863863273939322
2023-09-19,429.11328125,429.6754845917088,426.42836539622306,429.08420380682946,66514600,-0.0020761178646403035
2023-09-20,425.1683044433594,430.7901603921495,424.96473276036625,430.3733738455972,82562600,-0.009235841940486673
2023-09-21,418.1409606933594,422.5802845540439,417.98587113932,422.31858757052555,104095800,-0.01666649877213075
2023-09-22,417.20074462890625,420.7677155797648,416.7839285170148,419.16839709834846,100829700,-0.0022510942659804568
2023-09-25,418.95513916015625,418.993889361631,415.55293063128704,415.9891218304828,70874500,0.004196339796751982
2023-09-26,412.8001403808594,416.6191352673673,411.96653779928545,415.91154478605614,96168400,-0.01480029350936933
2023-09-27,412.96490478515625,414.53517529607944,409.3204041006066,413.9729720120895,104705800,0.0003990588060075631
2023-09-28,415.3591003417969,417.0359784928409,411.8212066146307,412.4124874162186,92258300,0.005780835057934379
2023-09-29,414.3510437011719,418.5868254716406,412.8292551807975,418.4123608156291,115111300,-0.0024299019214405735
2023-10-02,414.1862487792969,415.436637965525,411.4237734247356,413.51743802249865,83798600,-0.00039779723989197095
2023-10-03,408.64190673828125,414.2443872113326,407.27520783651096,412.00533549021924,103760600,-0.01347651004769522
2023-10-04,411.61767578125,412.3640165843667,407.64359070503724,409.107224446792,87453000,0.007255708220654778
2023-10-05,411.4625549316406,412.3058303467078,408.23484048426144,411.3268404794052,70142700,-0.0003769276570075328
2023-10-06,416.3477783203125,417.8889419596687,407.68234534407696,409.01026454136644,113273300,0.011802897125147479
2023-10-09,419.0133056640625,419.5851817448939,413.89546879833836,414.44794019758774,80374400,0.006381758598504333
2023-10-10,421.1942138671875,423.79189736248946,419.245936455557,419.64334789466267,78607300,0.005191367728654039
2023-10-11,422.9195556640625,423.1715503152822,419.8759785243393,422.2604472219357,62451700,0.004087942317429219
