Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
datetime,,,,,
2026-05-11 13:30:00+00:00,736.969970703125,736.989990234375,736.4500122070312,736.4500122070312,990928
2026-05-11 13:31:00+00:00,737.4199829101562,737.4400024414062,736.9600219726562,736.97998046875,311998
2026-05-11 13:32:00+00:00,737.7000122070312,737.7100219726562,737.3400268554688,737.4298706054688,345545
2026-05-11 13:33:00+00:00,737.7100219726562,737.7899780273438,737.6400146484375,737.7000122070312,215587
2026-05-11 13:34:00+00:00,737.9400024414062,737.9500122070312,737.6950073242188,737.719970703125,288779
2026-05-11 13:35:00+00:00,737.5399780273438,737.9450073242188,737.530029296875,737.9450073242188,234376
2026-05-11 13:36:00+00:00,737.4600219726562,737.75,737.4199829101562,737.530029296875,154273
2026-05-11 13:37:00+00:00,737.5700073242188,737.6900024414062,737.4199829101562,737.4299926757812,90916
2026-05-11 13:38:00+00:00,737.7100219726562,737.72998046875,737.4400024414062,737.5900268554688,134559
2026-05-11 13:39:00+00:00,737.60498046875,737.719970703125,737.5050048828125,737.6900024414062,65648
2026-05-11 13:40:00+00:00,737.7899780273438,737.7999877929688,737.52001953125,737.6099853515625,135428
2026-05-11 13:41:00+00:00,737.989990234375,738.02001953125,737.719970703125,737.7899780273438,120643
2026-05-11 13:42:00+00:00,737.9000244140625,738.02001953125,737.8499755859375,737.989990234375,137645
2026-05-11 13:43:00+00:00,738.1500244140625,738.1599731445312,737.8800048828125,737.9000244140625,124519
2026-05-11 13:44:00+00:00,738.3900146484375,738.4000244140625,738.1199951171875,738.1599731445312,82886
2026-05-11 13:45:00+00:00,738.719970703125,738.75,738.3499755859375,738.4000244140625,224543
2026-05-11 13:46:00+00:00,738.739990234375,738.8400268554688,738.6400146484375,738.739990234375,128414
2026-05-11 13:47:00+00:00,738.8699951171875,738.9000244140625,738.72998046875,738.739990234375,135385
2026-05-11 13:48:00+00:00,739.0900268554688,739.1400146484375,738.7999877929688,738.8599853515625,106119
2026-05-11 13:49:00+00:00,738.780029296875,739.114990234375,738.77001953125,739.0900268554688,156950
2026-05-11 13:50:00+00:00,738.8900146484375,739.1187133789062,738.760009765625,738.7999877929688,164050
