,type,strike,bid,ask,iv,volume,oi,mid,expiry,dte
0,call,660.0,77.36,80.17,0.39624627197265627,4.0,0,78.765,2026-05-27,10
1,call,665.0,72.38,75.19,0.37622694091796877,1.0,0,73.785,2026-05-27,10
2,call,680.0,57.52,60.3,0.31873239868164055,1.0,1,58.91,2026-05-27,10
3,call,690.0,47.68,50.47,0.2838206384277343,,1,49.075,2026-05-27,10
4,call,692.0,45.73,48.54,0.278327529296875,6.0,0,47.135,2026-05-27,10
5,call,694.0,43.78,46.59,0.2715526947021484,,1,45.185,2026-05-27,10
6,call,700.0,37.97,40.78,0.25196060546875,,1,39.375,2026-05-27,10
7,call,705.0,33.2,36.01,0.2368240380859375,,8,34.605000000000004,2026-05-27,10
8,call,710.0,29.67,30.09,0.17347017944335938,1.0,0,29.880000000000003,2026-05-27,10
9,call,712.0,27.84,28.27,0.1724936267089844,,1,28.055,2026-05-27,10
10,call,715.0,25.13,25.55,0.16931983032226564,2.0,0,25.34,2026-05-27,10
11,call,719.0,21.64,22.03,0.16510844665527347,12.0,0,21.835,2026-05-27,10
12,call,720.0,20.79,21.17,0.16394879028320314,2.0,1,20.98,2026-05-27,10
13,call,722.0,19.13,19.49,0.16199568481445312,9.0,0,19.31,2026-05-27,10
14,call,723.0,18.32,18.66,0.16083602844238282,,3,18.490000000000002,2026-05-27,10
15,call,724.0,17.48,17.84,0.1596763720703125,,1,17.66,2026-05-27,10
16,call,725.0,16.7,17.02,0.15818102569580078,7.0,5,16.86,2026-05-27,10
17,call,728.0,14.31,14.74,0.15616688568115233,5.0,0,14.525,2026-05-27,10
18,call,730.0,12.92,13.19,0.1524742956542969,2.0,63,13.055,2026-05-27,10
19,call,731.0,12.18,12.52,0.15241326110839848,1.0,1,12.35,2026-05-27,10
20,call,733.0,10.72,11.12,0.1498803274536133,10.0,0,10.92,2026-05-27,10
21,call,734.0,10.17,10.45,0.14869015380859374,7.0,1,10.309999999999999,2026-05-27,10
22,call,735.0,9.42,9.95,0.1505211901855469,5.0,70,9.684999999999999,2026-05-27,10
23,call,736.0,8.79,9.17,0.1463708410644531,1.0,0,8.98,2026-05-27,10
24,call,737.0,8.43,8.49,0.14383790740966795,17.0,11,8.46,2026-05-27,10
25,call,738.0,7.85,7.9,0.14270876831054688,76.0,12,7.875,2026-05-27,10
26,call,739.0,7.28,7.34,0.14170169830322266,120.0,42,7.3100000000000005,2026-05-27,10
27,call,740.0,6.74,6.79,0.14051152465820313,228.0,163,6.765000000000001,2026-05-27,10
28,call,741.0,6.21,6.27,0.1394434201049805,472.0,0,6.24,2026-05-27,10
29,call,742.0,5.71,5.76,0.13813117736816405,274.0,41,5.734999999999999,2026-05-27,10
30,call,743.0,5.24,5.29,0.13715462463378908,250.0,6,5.265000000000001,2026-05-27,10
31,call,744.0,4.78,4.83,0.13590341644287113,172.0,0,4.805,2026-05-27,10
32,call,745.0,4.35,4.4,0.13477427734375003,630.0,496,4.375,2026-05-27,10
33,call,746.0,3.95,3.99,0.1336146209716797,113.0,12,3.97,2026-05-27,10
34,call,747.0,3.56,3.61,0.13254651641845705,14.0,59,3.585,2026-05-27,10
35,call,748.0,3.21,3.25,0.13141737731933595,200.0,154,3.23,2026-05-27,10
36,call,749.0,2.87,2.91,0.13019668640136717,171.0,234,2.89,2026-05-27,10
37,call,750.0,2.57,2.61,0.1294032373046875,239.0,214,2.59,2026-05-27,10
38,call,751.0,2.28,2.32,0.1283046154785156,12.0,76,2.3,2026-05-27,10
39,call,752.0,2.02,2.05,0.1271449591064453,58.0,114,2.035,2026-05-27,10
40,call,753.0,1.78,1.81,0.1261684063720703,51.0,137,1.795,2026-05-27,10
41,call,754.0,1.56,1.59,0.12525288818359376,29.0,184,1.5750000000000002,2026-05-27,10
42,call,755.0,1.36,1.39,0.12427633544921876,758.0,689,1.375,2026-05-27,10
43,call,756.0,1.18,1.21,0.12342185180664064,232.0,489,1.1949999999999998,2026-05-27,10
44,call,757.0,1.02,1.05,0.12256736816406251,586.0,31,1.0350000000000001,2026-05-27,10
45,call,758.0,0.88,0.91,0.1218959881591797,264.0,55,0.895,2026-05-27,10
46,call,759.0,0.75,0.78,0.12104150451660156,570.0,83,0.765,2026-05-27,10
47,call,760.0,0.64,0.67,0.12037012451171875,421.0,382,0.655,2026-05-27,10
48,call,761.0,0.55,0.57,0.11963770996093749,130.0,77,0.56,2026-05-27,10
49,call,762.0,0.46,0.48,0.11878322631835936,30.0,141,0.47,2026-05-27,10
50,call,763.0,0.39,0.41,0.11841701904296875,33.0,37,0.4,2026-05-27,10
51,call,764.0,0.32,0.34,0.11744046630859376,4.0,21,0.33,2026-05-27,10
52,call,765.0,0.27,0.29,0.11731839721679688,114.0,36,0.28,2026-05-27,10
53,call,766.0,0.23,0.24,0.1167080517578125,387.0,98,0.235,2026-05-27,10
54,call,767.0,0.19,0.2,0.116219775390625,,90,0.195,2026-05-27,10
55,call,768.0,0.16,0.17,0.116219775390625,5.0,0,0.165,2026-05-27,10
56,call,769.0,0.13,0.14,0.1157314990234375,27.0,4,0.135,2026-05-27,10
57,call,770.0,0.11,0.12,0.116219775390625,239.0,37,0.11499999999999999,2026-05-27,10
58,call,771.0,0.09,0.1,0.11597563720703125,202.0,2,0.095,2026-05-27,10
59,call,772.0,0.08,0.09,0.117196328125,38.0,12,0.08499999999999999,2026-05-27,10
60,call,773.0,0.07,0.08,0.118172880859375,1587.0,0,0.07500000000000001,2026-05-27,10
61,call,774.0,0.06,0.07,0.11890529541015624,2014.0,4,0.065,2026-05-27,10
62,call,775.0,0.05,0.06,0.11914943359374999,2296.0,62,0.055,2026-05-27,10
63,call,780.0,0.03,0.04,0.12696185546875,102.0,27,0.035,2026-05-27,10
64,call,785.0,0.02,0.03,0.13575083007812502,222.0,15,0.025,2026-05-27,10
65,call,790.0,0.01,0.03,0.148446015625,204.0,5,0.02,2026-05-27,10
66,call,795.0,0.01,0.02,0.15430533203125002,298.0,14,0.015,2026-05-27,10
67,call,800.0,0.01,0.02,0.16602396484375004,5.0,167,0.015,2026-05-27,10
68,call,805.0,0.01,0.02,0.17774259765625,3.0,0,0.015,2026-05-27,10
69,call,810.0,0.01,0.02,0.18946123046875002,,4,0.015,2026-05-27,10
70,call,815.0,0.01,0.02,0.20117986328124998,,9,0.015,2026-05-27,10
71,call,820.0,0.01,0.02,0.21094539062499998,,10,0.015,2026-05-27,10
72,call,835.0,0.0,0.01,0.2304764453125,,169,0.005,2026-05-27,10
73,put,505.0,0.01,0.02,0.6914093359375001,10.0,0,0.015,2026-05-27,10
74,put,535.0,0.01,0.03,0.6093789062500001,1.0,0,0.02,2026-05-27,10
75,put,545.0,0.02,0.03,0.585941640625,100.0,0,0.025,2026-05-27,10
76,put,550.0,0.02,0.03,0.570316796875,100.0,0,0.025,2026-05-27,10
77,put,555.0,0.02,0.03,0.5546919531250001,11.0,0,0.025,2026-05-27,10
78,put,565.0,0.02,0.03,0.5214891601562499,10.0,0,0.025,2026-05-27,10
79,put,570.0,0.02,0.04,0.5136767382812499,,2,0.03,2026-05-27,10
80,put,600.0,0.04,0.05,0.4414118359375,15.0,1,0.045,2026-05-27,10
81,put,620.0,0.06,0.07,0.39160764648437496,1.0,1,0.065,2026-05-27,10
82,put,635.0,0.08,0.09,0.35352208984374994,,683,0.08499999999999999,2026-05-27,10
83,put,640.0,0.09,0.1,0.340826904296875,247.0,693,0.095,2026-05-27,10
84,put,645.0,0.1,0.11,0.32813171874999997,779.0,0,0.10500000000000001,2026-05-27,10
85,put,650.0,0.11,0.12,0.3154365332031249,190.0,460,0.11499999999999999,2026-05-27,10
86,put,655.0,0.13,0.14,0.304694453125,100.0,71,0.135,2026-05-27,10
87,put,660.0,0.15,0.16,0.2929758203124999,,186,0.155,2026-05-27,10
88,put,665.0,0.17,0.18,0.2802806347656249,,48,0.175,2026-05-27,10
89,put,670.0,0.2,0.21,0.2690502783203125,73.0,10,0.20500000000000002,2026-05-27,10
90,put,675.0,0.24,0.25,0.2580640600585938,2.0,12,0.245,2026-05-27,10
91,put,680.0,0.29,0.3,0.24732197998046873,124.0,84,0.295,2026-05-27,10
92,put,685.0,0.35,0.37,0.23731231445312498,26.0,37,0.36,2026-05-27,10
93,put,690.0,0.44,0.45,0.22620402709960938,74.0,46,0.445,2026-05-27,10
94,put,692.0,0.48,0.5,0.22290816162109373,1.0,0,0.49,2026-05-27,10
95,put,693.0,0.5,0.52,0.22046677978515622,3.0,1,0.51,2026-05-27,10
96,put,694.0,0.53,0.54,0.2181474670410156,53.0,1,0.535,2026-05-27,10
97,put,695.0,0.55,0.57,0.21656056884765623,15.0,83,0.56,2026-05-27,10
98,put,696.0,0.58,0.6,0.21472953247070312,5.0,4,0.59,2026-05-27,10
99,put,697.0,0.61,0.63,0.21277642700195312,,7,0.62,2026-05-27,10
100,put,698.0,0.64,0.66,0.21070125244140625,3.0,4,0.65,2026-05-27,10
101,put,699.0,0.68,0.7,0.2092364233398437,,1,0.69,2026-05-27,10
102,put,700.0,0.71,0.73,0.20691711059570309,716.0,113,0.72,2026-05-27,10
103,put,701.0,0.75,0.77,0.20508607421874997,7.0,2,0.76,2026-05-27,10
104,put,702.0,0.8,0.82,0.20374331420898437,2.0,0,0.81,2026-05-27,10
105,put,703.0,0.84,0.86,0.2016681396484375,10.0,0,0.85,2026-05-27,10
106,put,704.0,0.89,0.91,0.19995917236328126,12.0,0,0.9,2026-05-27,10
107,put,705.0,0.94,0.96,0.1981281359863281,91.0,133,0.95,2026-05-27,10
108,put,706.0,1.0,1.02,0.1966633068847656,16.0,0,1.01,2026-05-27,10
109,put,707.0,1.05,1.08,0.19495433959960937,26.0,0,1.065,2026-05-27,10
110,put,708.0,1.12,1.14,0.19312330322265625,6.0,0,1.13,2026-05-27,10
111,put,709.0,1.19,1.21,0.1915364050292969,54.0,0,1.2,2026-05-27,10
112,put,710.0,1.26,1.28,0.18982743774414065,141.0,129,1.27,2026-05-27,10
113,put,711.0,1.34,1.36,0.1883015740966797,5.0,89,1.35,2026-05-27,10
114,put,712.0,1.42,1.45,0.18695881408691406,18.0,1,1.435,2026-05-27,10
115,put,713.0,1.51,1.54,0.18537191589355467,7.0,0,1.525,2026-05-27,10
116,put,714.0,1.61,1.64,0.18396812133789062,25.0,1,1.625,2026-05-27,10
117,put,715.0,1.71,1.74,0.1823201885986328,125.0,170,1.725,2026-05-27,10
118,put,716.0,1.82,1.85,0.18079432495117187,45.0,80,1.835,2026-05-27,10
119,put,717.0,1.94,1.97,0.17939053039550779,33.0,2,1.955,2026-05-27,10
120,put,718.0,2.07,2.1,0.1780477703857422,78.0,7,2.085,2026-05-27,10
121,put,719.0,2.2,2.24,0.176766044921875,40.0,23,2.22,2026-05-27,10
122,put,720.0,2.35,2.38,0.17524018127441404,135.0,124,2.365,2026-05-27,10
123,put,721.0,2.5,2.54,0.17401949035644532,26.0,27,2.52,2026-05-27,10
124,put,722.0,2.67,2.7,0.1724936267089844,140.0,13,2.685,2026-05-27,10
125,put,723.0,2.85,2.88,0.17127293579101563,62.0,18,2.865,2026-05-27,10
126,put,724.0,3.03,3.07,0.16999121032714848,35.0,8,3.05,2026-05-27,10
127,put,725.0,3.23,3.27,0.1687094848632813,99.0,113,3.25,2026-05-27,10
128,put,726.0,3.45,3.49,0.1675803457641602,274.0,50,3.47,2026-05-27,10
