,type,strike,bid,ask,iv,volume,oi,mid,expiry,dte
0,call,445.0,292.96,295.76,0.72851833984375,,1.0,294.36,2026-06-12,26
1,call,490.0,248.14,250.95,0.6523472265625001,1.0,1.0,249.545,2026-06-12,26
2,call,530.0,208.32,211.14,0.5708050732421875,,1.0,209.73,2026-06-12,26
3,call,580.0,158.63,161.44,0.5554243676757813,,2.0,160.035,2026-06-12,26
4,call,595.0,143.75,146.5,0.5102588037109376,,5.0,145.125,2026-06-12,26
5,call,600.0,138.8,141.61,0.49927258544921876,1.0,2.0,140.205,2026-06-12,26
6,call,610.0,128.89,131.69,0.4707694525146484,,7.0,130.29,2026-06-12,26
7,call,615.0,123.95,126.72,0.45606012695312503,,2.0,125.33500000000001,2026-06-12,26
8,call,620.0,119.0,121.82,0.4440973559570312,,1.0,120.41,2026-06-12,26
9,call,625.0,114.06,116.88,0.4303645831298829,,2.0,115.47,2026-06-12,26
10,call,635.0,104.2,106.98,0.4018614501953125,1.0,3.0,105.59,2026-06-12,26
11,call,640.0,99.29,102.03,0.3875183319091796,,1.0,100.66,2026-06-12,26
12,call,645.0,94.38,97.19,0.37665418273925777,5.0,2.0,95.785,2026-06-12,26
13,call,650.0,89.48,92.26,0.36255520263671875,5.0,21.0,90.87,2026-06-12,26
14,call,655.0,84.6,87.41,0.35071450073242183,2.0,4.0,86.005,2026-06-12,26
15,call,660.0,79.73,82.49,0.3365544860839844,1.0,3.0,81.11,2026-06-12,26
16,call,665.0,75.91,76.65,0.295356167602539,2.0,506.0,76.28,2026-06-12,26
17,call,670.0,70.06,72.87,0.31320877227783206,11.0,23.0,71.465,2026-06-12,26
18,call,675.0,65.26,68.06,0.3008187594604492,4.0,35.0,66.66,2026-06-12,26
19,call,676.0,64.31,66.69,0.2883066775512695,5.0,81.0,65.5,2026-06-12,26
20,call,677.0,63.36,66.15,0.2960580648803711,,1.0,64.755,2026-06-12,26
21,call,678.0,62.4,65.2,0.2937692694091796,1.0,0.0,63.8,2026-06-12,26
22,call,679.0,61.45,64.25,0.2914499566650389,3.0,7.0,62.85,2026-06-12,26
23,call,680.0,60.5,63.3,0.2890696093749999,12001.0,18.0,61.9,2026-06-12,26
24,call,681.0,59.56,62.37,0.28717753845214833,38.0,0.0,60.965,2026-06-12,26
25,call,682.0,58.62,61.41,0.2845225357055663,1.0,4.0,60.015,2026-06-12,26
26,call,683.0,57.67,60.48,0.28253891296386713,2.0,1.0,59.075,2026-06-12,26
27,call,684.0,56.73,59.54,0.2802806347656249,4.0,3.0,58.135,2026-06-12,26
28,call,685.0,55.79,58.54,0.27674063110351554,5.0,14.0,57.165,2026-06-12,26
29,call,686.0,54.86,57.66,0.2757335610961914,2.0,4.0,56.26,2026-06-12,26
30,call,687.0,53.93,56.71,0.2732006274414062,1.0,5.0,55.32,2026-06-12,26
31,call,688.0,52.99,55.79,0.2712475219726562,3.0,22.0,54.39,2026-06-12,26
32,call,689.0,52.06,54.86,0.2690502783203125,3.0,1.0,53.46,2026-06-12,26
33,call,690.0,52.31,52.69,0.2404555935668945,6.0,93.0,52.5,2026-06-12,26
34,call,691.0,50.21,53.01,0.2647778601074219,2.0,52.0,51.61,2026-06-12,26
