date,rate_pct,rate_decimal
2023-05-18,5.125,0.05125
2023-05-19,5.085000038146973,0.05085000038146972
2023-05-22,5.09499979019165,0.050949997901916504
2023-05-23,5.1529998779296875,0.05152999877929688
2023-05-24,5.184999942779541,0.05184999942779541
2023-05-25,5.163000106811523,0.05163000106811524
2023-05-26,5.114999771118164,0.051149997711181644
2023-05-30,5.14300012588501,0.0514300012588501
2023-05-31,5.248000144958496,0.05248000144958496
2023-06-01,5.203000068664551,0.05203000068664551
2023-06-02,5.215000152587891,0.052150001525878904
2023-06-05,5.14300012588501,0.0514300012588501
2023-06-06,5.1579999923706055,0.05157999992370606
2023-06-07,5.1529998779296875,0.05152999877929688
2023-06-08,5.099999904632568,0.050999999046325684
2023-06-09,5.09499979019165,0.050949997901916504
2023-06-12,5.09499979019165,0.050949997901916504
2023-06-13,5.099999904632568,0.050999999046325684
2023-06-14,5.079999923706055,0.05079999923706055
2023-06-15,5.054999828338623,0.05054999828338623
2023-06-16,5.065000057220459,0.05065000057220459
2023-06-20,5.074999809265137,0.05074999809265137
2023-06-21,5.135000228881836,0.05135000228881836
2023-06-22,5.135000228881836,0.05135000228881836
2023-06-23,5.138000011444092,0.05138000011444092
2023-06-26,5.15500020980835,0.0515500020980835
2023-06-27,5.179999828338623,0.05179999828338623
2023-06-28,5.170000076293945,0.05170000076293945
2023-06-29,5.175000190734863,0.05175000190734863
2023-06-30,5.1529998779296875,0.05152999877929688
2023-07-03,5.144999980926514,0.05144999980926514
2023-07-05,5.192999839782715,0.05192999839782715
2023-07-06,5.2129998207092285,0.052129998207092285
2023-07-07,5.2129998207092285,0.052129998207092285
2023-07-10,5.224999904632568,0.052249999046325685
2023-07-11,5.243000030517578,0.05243000030517578
2023-07-12,5.230000019073486,0.052300000190734865
2023-07-13,5.2230000495910645,0.052230000495910645
2023-07-14,5.215000152587891,0.052150001525878904
2023-07-17,5.232999801635742,0.052329998016357425
2023-07-18,5.248000144958496,0.05248000144958496
2023-07-19,5.244999885559082,0.05244999885559082
2023-07-20,5.243000030517578,0.05243000030517578
2023-07-21,5.248000144958496,0.05248000144958496
2023-07-24,5.25,0.0525
2023-07-25,5.264999866485596,0.05264999866485596
2023-07-26,5.26800012588501,0.0526800012588501
2023-07-27,5.26800012588501,0.0526800012588501
2023-07-28,5.255000114440918,0.05255000114440918
2023-07-31,5.248000144958496,0.05248000144958496
2023-08-01,5.260000228881836,0.05260000228881836
2023-08-02,5.260000228881836,0.05260000228881836
2023-08-03,5.257999897003174,0.05257999897003174
2023-08-04,5.252999782562256,0.05252999782562256
2023-08-07,5.260000228881836,0.05260000228881836
2023-08-08,5.275000095367432,0.05275000095367432
2023-08-09,5.28000020980835,0.0528000020980835
2023-08-10,5.26800012588501,0.0526800012588501
2023-08-11,5.264999866485596,0.05264999866485596
2023-08-14,5.269999980926514,0.05269999980926514
2023-08-15,5.28000020980835,0.0528000020980835
2023-08-16,5.284999847412109,0.05284999847412109
2023-08-17,5.2779998779296875,0.05277999877929687
2023-08-18,5.2779998779296875,0.05277999877929687
2023-08-21,5.28000020980835,0.0528000020980835
2023-08-22,5.295000076293945,0.05295000076293945
2023-08-23,5.295000076293945,0.05295000076293945
2023-08-24,5.302999973297119,0.05302999973297119
2023-08-25,5.315000057220459,0.05315000057220459
2023-08-28,5.322999954223633,0.053229999542236325
2023-08-29,5.320000171661377,0.05320000171661377
2023-08-30,5.315000057220459,0.05315000057220459
2023-08-31,5.297999858856201,0.05297999858856201
2023-09-01,5.26800012588501,0.0526800012588501
2023-09-05,5.2779998779296875,0.05277999877929687
2023-09-06,5.300000190734863,0.05300000190734863
2023-09-07,5.2829999923706055,0.05282999992370605
2023-09-08,5.293000221252441,0.05293000221252441
2023-09-11,5.293000221252441,0.05293000221252441
2023-09-12,5.304999828338623,0.05304999828338623
2023-09-13,5.304999828338623,0.05304999828338623
2023-09-14,5.295000076293945,0.05295000076293945
2023-09-15,5.297999858856201,0.05297999858856201
2023-09-18,5.300000190734863,0.05300000190734863
2023-09-19,5.309999942779541,0.05309999942779541
2023-09-20,5.315000057220459,0.05315000057220459
2023-09-21,5.304999828338623,0.05304999828338623
2023-09-22,5.304999828338623,0.05304999828338623
2023-09-25,5.313000202178955,0.05313000202178955
2023-09-26,5.324999809265137,0.053249998092651366
2023-09-27,5.329999923706055,0.053299999237060545
2023-09-28,5.308000087738037,0.05308000087738037
2023-09-29,5.300000190734863,0.05300000190734863
2023-10-02,5.315000057220459,0.05315000057220459
2023-10-03,5.340000152587891,0.053400001525878905
2023-10-04,5.335000038146973,0.053350000381469725
2023-10-05,5.324999809265137,0.053249998092651366
