,type,strike,bid,ask,iv,volume,oi,mid,expiry,dte
0,call,445.0,292.54,295.35,1.0769089123535158,,1.0,293.94500000000005,2026-06-05,19
1,call,510.0,227.73,230.53,0.8383805224609374,,4.0,229.13,2026-06-05,19
2,call,515.0,222.74,225.5,0.8161639477539062,,1.0,224.12,2026-06-05,19
3,call,520.0,217.76,220.56,0.8033466931152342,2.0,0.0,219.16,2026-06-05,19
4,call,525.0,212.77,215.58,0.7865011584472656,2.0,0.0,214.175,2026-06-05,19
5,call,530.0,207.79,210.59,0.7688011401367189,1.0,0.0,209.19,2026-06-05,19
6,call,560.0,177.89,180.7,0.6682162084960939,,4.0,179.295,2026-06-05,19
7,call,565.0,172.91,175.72,0.6517368811035158,,1.0,174.315,2026-06-05,19
8,call,570.0,168.0,170.74,0.6352575537109376,1.0,1.0,169.37,2026-06-05,19
9,call,590.0,148.03,150.82,0.5697064514160157,,50.0,149.425,2026-06-05,19
10,call,594.0,144.05,146.84,0.5568891967773439,1.0,1.0,145.445,2026-06-05,19
11,call,598.0,140.07,142.88,0.5454147021484376,1.0,1.0,141.475,2026-06-05,19
12,call,600.0,139.15,139.83,0.45337460693359377,11.0,2155.0,139.49,2026-06-05,19
13,call,601.0,137.09,139.88,0.5347946911621093,3.0,0.0,138.485,2026-06-05,19
14,call,603.0,135.09,137.89,0.5283250292968751,1.0,0.0,136.49,2026-06-05,19
15,call,604.0,134.11,136.92,0.5267381311035157,,5.0,135.515,2026-06-05,19
16,call,605.0,133.11,135.92,0.5231981274414061,23.0,24.0,134.515,2026-06-05,19
17,call,611.0,127.15,129.96,0.5043994873046875,2.0,2.0,128.555,2026-06-05,19
18,call,614.0,124.17,126.98,0.4950001672363281,4.0,5.0,125.575,2026-06-05,19
19,call,615.0,123.18,125.97,0.4908498181152344,1.0,1.0,124.575,2026-06-05,19
20,call,620.0,118.21,121.02,0.4760794580078125,1.0,5.0,119.615,2026-06-05,19
21,call,625.0,113.25,116.06,0.4606987524414063,2.0,4.0,114.655,2026-06-05,19
